Scenario,Subset,Class_ID,Class_Name,Count
scenario_L30_U70,train_labeled,0,DANCOW 1+ Madu Advn ExcNutr 12x1000g N1 ID_REDESIGN3,9
scenario_L30_U70,train_labeled,1,DANCOW 1+ Madu Advn ExcNutr 12x800g ID_REDESIGN3,13
scenario_L30_U70,train_labeled,2,DANCOW 1+ Madu Advn ExcNutr 24x400g N1 ID_REDESIGN3,19
scenario_L30_U70,train_labeled,3,DANCOW 1+ Madu Advn ExcNutr 40x200g ID_REDESIGN3,27
scenario_L30_U70,train_labeled,4,DANCOW 1+ Van Advn ExcNutr 12x1000g ID_REDESIGN3,13
scenario_L30_U70,train_labeled,5,DANCOW 1+ Van Advn ExcNutr 12x800g N1 ID_REDESIGN3,28
scenario_L30_U70,train_labeled,6,DANCOW 1+ Van Advn ExcNutr 24x400g ID_REDESIGN3,17
scenario_L30_U70,train_labeled,7,DANCOW 1+ Van Advn ExcNutr 40x200g N1 ID_REDESIGN3,8
scenario_L30_U70,train_labeled,8,DANCOW 3+ Madu Advn ExcNutr 12x1000g ID_REDESIGN3,23
scenario_L30_U70,train_labeled,9,DANCOW 3+ Madu Advn ExcNutr 12x800g ID_REDESIGN3,10
scenario_L30_U70,train_labeled,10,DANCOW 3+ Madu Advn ExcNutr 24x400g ID_REDESIGN3,12
scenario_L30_U70,train_labeled,11,DANCOW 3+ Van Advn ExcNutr 12x1000g ID_REDESIGN3,18
scenario_L30_U70,train_labeled,12,DANCOW 3+ Van Advn ExcNutr 12x800g ID_REDESIGN3,14
scenario_L30_U70,train_labeled,13,DANCOW 3+ Van Advn ExcNutr 24x400g ID_REDESIGN3,11
scenario_L30_U70,train_labeled,14,DANCOW 5+ Madu Advn ExcNutr 12x1000g ID_REDESIGN3,2
scenario_L30_U70,train_labeled,15,DANCOW 5+ Madu Advn ExcNutr 12x800g ID_REDESIGN3,13
scenario_L30_U70,train_labeled,16,DANCOW 5+ Madu Advn ExcNutr 24x400g ID_REDESIGN3,23
scenario_L30_U70,train_labeled,17,LACTOGEN 1 Happynutri 12x1kg ID_REDESIGN2,14
scenario_L30_U70,train_labeled,18,LACTOGEN 1 Happynutri 12x750g N1 ID_REDESIGN2,9
scenario_L30_U70,train_labeled,19,LACTOGEN 1 Happynutri 24x350g N1 ID_REDESIGN2,12
scenario_L30_U70,train_labeled,20,LACTOGEN 1 Happynutri 40x180g N1 ID_REDESIGN2,9
scenario_L30_U70,train_labeled,21,LACTOGEN 2 Happynutri 12x1kg ID_REDESIGN2,9
scenario_L30_U70,train_labeled,22,LACTOGEN 2 Happynutri 12x750g N1 ID_REDESIGN2,7
scenario_L30_U70,train_labeled,23,LACTOGEN 2 Happynutri 24x350g N1 ID_REDESIGN2,20
scenario_L30_U70,train_labeled,24,LACTOGEN 2 Happynutri 40x180g N1 ID_REDESIGN2,7
scenario_L30_U70,train_labeled,25,LACTOGEN PRO 0-6 mo 12x1kg ID,10
scenario_L30_U70,train_labeled,26,LACTOGEN PRO 0-6 mo 12x735g ID,13
scenario_L30_U70,train_labeled,27,LACTOGEN PRO 0-6 mo 24x350g ID,20
scenario_L30_U70,train_labeled,28,LACTOGEN PRO 0-6 mo 40x180g ID,29
scenario_L30_U70,train_labeled,29,LACTOGEN PRO 6-12 mo 12x1kg ID,14
scenario_L30_U70,train_labeled,30,LACTOGEN PRO 6-12 mo 12x735g ID,12
scenario_L30_U70,train_labeled,31,LACTOGEN PRO 6-12 mo 24x350g ID,13
scenario_L30_U70,train_labeled,32,LACTOGEN PRO 6-12 mo 40x180g ID,17
scenario_L30_U70,train_labeled,33,LACTOGROW 3 Happynutri Honey 12x1kg N1 ID_REDESIGN2,15
scenario_L30_U70,train_labeled,34,LACTOGROW 3 Happynutri Honey 12x750g N1 ID_REDESIGN2,9
scenario_L30_U70,train_labeled,35,LACTOGROW 3 Happynutri Honey 24x350g N1 ID_REDESIGN2,10
scenario_L30_U70,train_labeled,36,LACTOGROW 3 Happynutri Honey 40x180g N1 ID_REDESIGN2,4
scenario_L30_U70,train_labeled,37,LACTOGROW 3 Happynutri Van 12x1kg ID_REDESIGN2,11
scenario_L30_U70,train_labeled,38,LACTOGROW 3 Happynutri Van 12x750g N1 ID_REDESIGN2,7
scenario_L30_U70,train_labeled,39,LACTOGROW 3 Happynutri Van 24x350g N1 ID_REDESIGN2,3
scenario_L30_U70,train_labeled,40,LACTOGROW PRO 1+ Honey 12x1kg ID,7
scenario_L30_U70,train_labeled,41,LACTOGROW PRO 1+ Honey 12x735g ID,4
scenario_L30_U70,train_labeled,42,LACTOGROW PRO 1+ Honey 24x350g ID,27
scenario_L30_U70,train_labeled,43,LACTOGROW PRO 1+ Honey 40x145g ID,11
scenario_L30_U70,train_labeled,44,LACTOGROW PRO 1+ Van 12x1kg ID,6
scenario_L30_U70,train_labeled,45,LACTOGROW PRO 1+ Van 12x735g ID,4
scenario_L30_U70,train_labeled,46,LACTOGROW PRO 1+ Van 24x350g ID,7
scenario_L30_U70,train_unlabeled,0,DANCOW 1+ Madu Advn ExcNutr 12x1000g N1 ID_REDESIGN3,32
scenario_L30_U70,train_unlabeled,1,DANCOW 1+ Madu Advn ExcNutr 12x800g ID_REDESIGN3,47
scenario_L30_U70,train_unlabeled,2,DANCOW 1+ Madu Advn ExcNutr 24x400g N1 ID_REDESIGN3,60
scenario_L30_U70,train_unlabeled,3,DANCOW 1+ Madu Advn ExcNutr 40x200g ID_REDESIGN3,61
scenario_L30_U70,train_unlabeled,4,DANCOW 1+ Van Advn ExcNutr 12x1000g ID_REDESIGN3,27
scenario_L30_U70,train_unlabeled,5,DANCOW 1+ Van Advn ExcNutr 12x800g N1 ID_REDESIGN3,57
scenario_L30_U70,train_unlabeled,6,DANCOW 1+ Van Advn ExcNutr 24x400g ID_REDESIGN3,65
scenario_L30_U70,train_unlabeled,7,DANCOW 1+ Van Advn ExcNutr 40x200g N1 ID_REDESIGN3,29
scenario_L30_U70,train_unlabeled,8,DANCOW 3+ Madu Advn ExcNutr 12x1000g ID_REDESIGN3,42
scenario_L30_U70,train_unlabeled,9,DANCOW 3+ Madu Advn ExcNutr 12x800g ID_REDESIGN3,35
scenario_L30_U70,train_unlabeled,10,DANCOW 3+ Madu Advn ExcNutr 24x400g ID_REDESIGN3,51
